Date/Time,Stars,Review
2025-01-11,5,"Positive experienceI spoke with Nurse Ms E. Waugh and I found her to be very knowledgeable, friendly and extremely helpful. I have been made to feel at ease with my weight loss journey and I feel very supported."
2025-01-10,5,"Exactly what I needed!The system in place is straightforward to use and information is easy to access and understand. The nurse practitioner I spoke with was friendly, extremely knowledgeable, and eager to answer the specific questions I had about my personal circumstances; she was very professional and not judgmental at all. I'll definitely continue using the service!"
2025-01-08,5,"Thorough Health Check before Weight Loss drugsPhone call on time, very thorough and explanations were given with each answer. Although I was not offered the weight loss drug I would of liked, I understand the doctor's reason. Thank you for being caring and honest and thorough with your questioning of my existing health issues."
2025-01-08,5,So simple and convenientI have been using Youly for almost one year now. I'm really happy with how easy it is to schedule a telehealth appointment and they always ring on time. Knowledgeable practitioners and simple sending of scripts which I then pay online and have sent by courier to my home. It's hassle free and reliable and I love that.
2025-01-05,5,"The results were worth itI have been using Youly for a year to help achieve my weight loss goal. Menopause kicked in and I put on quite a bit of weight which would not budge no matter how much I exercised/watched what I ate. After a phone consultation, my doctor and nurse practitioner come up with a plan to help. Weekly injections, monthly phone follow-ups and regular emails telling me what to expect helped me achieve my goal weight. I cannot speak highly enough of the team looking after me and the follow-up still happening. If you're considering trying Youly for your weight loss I recommend contacting them to discuss your options. I sat on the fence for six months before I made the commitment. The end result was worth the time and money."
2025-01-01,1,"Never available - don’t use for regular appointmentsI need to have monthly appointments but the team never have appointments available and when they do they move them, then I jump in a queue to get an appointment wait over 5 hours and I’m no longer able to take a personal medical call as I’m not waiting in my living room for 5 hours"
2024-12-17,5,BEST ONLINE HEALTHCARE EVERI decided to go through Youly for contraception methods for the first time and the doctor was very informative in my consultation and provided thorough explanations on which pill would be best suited to me and why. I have also ordered emergency contraception through Youly and it has always been such an easy process. I absolutely love Youly!
2024-12-13,1,"Scam. AvoidScam. Was told I would be eligible for a specific medication in their initial screening, paid a $49 consult fee, only to be told within 1 minute of my phone appointment that I wasn't eligible. Took my money, knew they couldn't help me."
2024-12-13,5,Great experienceVery quick and easy process and lovely Nurse Practitioner. Super happy
2024-12-13,5,"Stellar ServicesAfter 12 months of using Youly's services, I am thoroughly impressed. Their booking system, online support, and consultations with the nominated treating medical practitioner have all been stellar. I cannot fault their services in any way."
2024-12-12,5,"10/10Easy, quick and accessible way to get yourself a script."
2024-12-11,5,Wonderful experienceHad a consult with an extremely helpful and knowledgable doctor who listened to my needs and concerned and came up with a treatment plan suitable for me. Will be recommending to my friends to use as much more convenient than seeing a GP and felt much more specialised.
2024-11-27,5,So easy to useEasy online process and speaking with health professional who explained everything in detail
2024-11-26,5,"FaultlessJust fantastic. Natalie Smith was informative, answered all my questions, and was just delightful. Couldn't recommend enough."
2024-11-25,5,"No judgment servicePrompt, friendly and non judgmental service. Very informative. Much quicker then getting an appointment at the gp"
2024-08-15,5,"Great staff assistanceFast and very friendly, supportive staff. They showed compassion and understanding"
2024-08-14,5,YOULY - keeping busy females healthy!All the clinicians at YOULY have been lovely and helpful. Life gets busy and YOULY allows for me to take care of my health while still living my busy life. Thank you YOULY!
2024-08-10,5,Helpful & worthwhile experiencesEvery appointment I have with a clinician at Youly has been with a helpful & knowledgeable clinician who cares about my health & progress made.
2024-08-06,5,"Friendly, judgement free zone!Friendly, no judgement service and very happy to help with any enquiries I have."
2024-08-03,1,"Very poor service, no refund $49 consultI recommended Youly to my friend who needed pain relief after having her breast cancer removed.
The queue told her it would be within the hour, the appointment time ended up being hours later 9-10 at night.
The doctor asked her for proof of cancer and breast surgery which she said she could provide. He then still said no to issuing the pain relief she requested and issued a script for a pain relief she is allergic to, which she had already said she was allergic to codeine. realised she’s allergic and ca... Read more"
2024-08-01,5,Excellent serviceConvenient service and lots of appointment availability. Seamless and hassle free! Highly recommend.
2024-07-28,5,"Great serviceGreat service, easy to understand and very approachable. Have recommended to others"
2024-07-26,5,Great helpThe whole process with Youly was so easy and simple. I will use them again!
2024-07-25,5,Good serviceVery good service and quick response from the team. A call with the clinician was very knowledgeable and helpful regarding my questions and found a solution
2024-07-23,5,"Fast, efficient and supportiveQuick question are followed by a prompt consultation with a GP who was able to give helpful information and address my concerns and questions for what I am hoping to achieve. Highly recommend. Great communication and clear idea of support to come to ensure I stay on track."
2024-07-19,5,"So far so goodI'm only just getting started but so far so good. Everyone has been so nice, warm and helpful. Product is very well priced, was posted fast and received overnight. I'm excited to continue my journey."
2024-07-18,5,"Wonderful Nurse Practitioner!The initial consultation took 48 hours of being in the queue, which wasn't ideal. However, when my wonderful Nurse Practitioner contacted me she was easy to talk to and talking me through my options. Then, Youly refunded my consultant fee due to my extended wait. So far, it's been great!"
2024-07-17,5,Efficient and caring serviceI’ve been so impressed with how professional and easy it has been to have a weight loss and menopause consult with Youly. The practitioners are knowledgeable and take the time to explain things very clearly. It was also extremely helpful to have an appointment on a Sunday. It is actually cheaper than going to my own doctor.
2024-07-16,5,"Fast and affordableVery happy, the way of the future with GPs no longer bulk billing for telehealth and most apps these days, was unable to get into my GP this week in person due to them being booked out & I am away this weekend so was trying to figure out a way to get what I need without taking time off & having to cancel plans
I believe my regular dr practice charges around $80 for a telehealth consult with a small portion back on medicare so was happy with $35.
For a recurrent infection I experience, needed a script for antibiotics, signed ... Read more"
2024-07-12,5,Beyond ConvenientI personally hate going to the doctors so the fact I can chat on the phone with a nurse so sign off on a new script every 12 months and just order as needed on the app has changed my life. The medication itself is only slightly more expensive than in store which I am more than happy to pay considering the convenience. I ordered my last prescription of medication on Tuesday night and it arrived Friday morning from QLD to regional VIC .. would definitely continue the service!
2023-08-31,5,"Easy to apply and quick response
Was able to order medication without a visit to my GP saving time and getting the prescription sooner (no wait time for appointment)"
2023-08-31,1,"Won't listen to your preferences
Would not prescribe the pill I prefer and when I expressed my preferences just ended the consultation."
2023-08-31,5,"This is perfect
Very easy to use and less time consuming. Can skip big waiting time"
2023-08-30,4,"Fast and effective
The app was easy to follow, which is important when you are unwell. The certificate was professional and what was required."
2023-08-30,2,"Delivery fee makes whole thing expensive
Great service up until you realise you have no choice but to purchase their medication and then pay the delivery fee of $18-19 but same day service is good. Be better if you had the option of a script to purchase yourself but I guess that’s how they ensure they make their money. If you’re willing to pay to save your time this is good but more expensive than the normal process."
